run_name,model,precip_bin,total,positive,true_positive_ratio,predicted_positive,predicted_positive_ratio,accuracy,precision,recall,f1,confusion_matrix,mean_predicted_probability
train_new_dataset_basic,XGBoost,0–2mm,422496,194166,0.45956884798909337,209341,0.4954863477997425,0.7683410020449898,0.7299860036973168,0.787037895409083,0.7574391522327989,"[[171805, 56525], [41350, 152816]]",0.4593120515346527
train_new_dataset_basic,XGBoost,2–5mm,3120,2261,0.7246794871794872,2462,0.7891025641025641,0.8157051282051282,0.8424045491470349,0.9172932330827067,0.8782553461782765,"[[471, 388], [187, 2074]]",0.7140089273452759
train_new_dataset_basic,XGBoost,5–10mm,3550,1004,0.2828169014084507,969,0.2729577464788732,0.9614084507042253,0.9473684210526315,0.9143426294820717,0.9305625950329448,"[[2495, 51], [86, 918]]",0.28393036127090454
train_new_dataset_basic,XGBoost,>10mm,414,127,0.30676328502415456,125,0.30193236714975846,0.9710144927536232,0.96,0.9448818897637795,0.9523809523809523,"[[282, 5], [7, 120]]",0.30122220516204834
train_new_dataset_basic,Random Forest,0–2mm,422496,194166,0.45956884798909337,194430,0.4601937059759146,0.7330909641748088,0.709324692691457,0.7102891340399452,0.7098065857600181,"[[171814, 56516], [56252, 137914]]",0.4589514739806719
train_new_dataset_basic,Random Forest,2–5mm,3120,2261,0.7246794871794872,2476,0.7935897435897435,0.8035256410256411,0.8327948303715671,0.9119858469703671,0.8705932024488072,"[[445, 414], [199, 2062]]",0.7234647435897436
train_new_dataset_basic,Random Forest,5–10mm,3550,1004,0.2828169014084507,1319,0.3715492957746479,0.8774647887323944,0.7156937073540561,0.9402390438247012,0.8127421437795953,"[[2171, 375], [60, 944]]",0.4385535211267606
train_new_dataset_basic,Random Forest,>10mm,414,127,0.30676328502415456,274,0.6618357487922706,0.6304347826086957,0.45255474452554745,0.9763779527559056,0.6184538653366584,"[[137, 150], [3, 124]]",0.6485507246376812
train_new_dataset_basic,Neural Network,0–2mm,422496,194166,0.45956884798909337,207312,0.4906839354692115,0.7509798909338786,0.714546191247974,0.7629245078953061,0.7379432995083167,"[[169152, 59178], [46032, 148134]]",0.4727606177330017
train_new_dataset_basic,Neural Network,2–5mm,3120,2261,0.7246794871794872,2538,0.8134615384615385,0.8067307692307693,0.8266351457840819,0.9279080053073862,0.8743488226713899,"[[419, 440], [163, 2098]]",0.7281491160392761
train_new_dataset_basic,Neural Network,5–10mm,3550,1004,0.2828169014084507,2644,0.7447887323943662,0.5216901408450704,0.3687594553706505,0.9711155378486056,0.5345394736842105,"[[877, 1669], [29, 975]]",0.6105043888092041
train_new_dataset_basic,Neural Network,>10mm,414,127,0.30676328502415456,269,0.6497584541062802,0.6570048309178744,0.4721189591078067,1.0,0.6414141414141414,"[[145, 142], [0, 127]]",0.6532683968544006
