run_name,model,context_feature,context_value,total,positive,true_positive_ratio,predicted_positive,predicted_positive_ratio,accuracy,precision,recall,f1,confusion_matrix,mean_predicted_probability
train_new_dataset_basic,XGBoost,heavy_rain_safe_context,0,426845,197495,0.4626855181623306,212893,0.4987595028640373,0.7691433658588012,0.7324054806874815,0.7895085951543077,0.7598857666403501,"[[172381, 56969], [41571, 155924]]",0.4622810482978821
train_new_dataset_basic,XGBoost,heavy_rain_safe_context,1,2735,63,0.02303473491773309,4,0.0014625228519195613,0.9784277879341865,1.0,0.06349206349206349,0.11940298507462686,"[[2672, 0], [59, 4]]",0.034923262894153595
train_new_dataset_basic,XGBoost,heavy_rain_risky_context,0,428610,196631,0.4587643778726581,211951,0.49450782762884676,0.7700753598842771,0.7313813098310459,0.7883650085693508,0.7588048421124768,"[[175045, 56934], [41614, 155017]]",0.4584946930408478
train_new_dataset_basic,XGBoost,heavy_rain_risky_context,1,970,927,0.9556701030927836,946,0.9752577319587629,0.9474226804123711,0.9630021141649049,0.982740021574973,0.9727709556860651,"[[8, 35], [16, 911]]",0.9303728342056274
train_new_dataset_basic,XGBoost,heavy_rain_high_wind,0,429318,197305,0.45957774889475866,212640,0.49529719229102903,0.7703590345617933,0.732120015048909,0.7890220724259396,0.7595067631023674,"[[175051, 56962], [41627, 155678]]",0.4592728912830353
train_new_dataset_basic,XGBoost,heavy_rain_high_wind,1,262,253,0.9656488549618321,257,0.9809160305343512,0.9618320610687023,0.9727626459143969,0.9881422924901185,0.9803921568627451,"[[2, 7], [3, 250]]",0.9302397966384888
train_new_dataset_basic,XGBoost,heavy_rain_night,0,428770,196783,0.45894768757142523,212106,0.4946847960444994,0.7701401683886466,0.7315493196797828,0.7885132353912686,0.7589639241945858,"[[175047, 56940], [41617, 155166]]",0.4586617648601532
train_new_dataset_basic,XGBoost,heavy_rain_night,1,810,775,0.9567901234567902,791,0.9765432098765432,0.9481481481481482,0.9633375474083439,0.983225806451613,0.9731800766283525,"[[6, 29], [13, 762]]",0.9351399540901184
train_new_dataset_basic,Random Forest,heavy_rain_safe_context,0,426845,197495,0.4626855181623306,198011,0.46389438789256054,0.7341423701812133,0.712147304947705,0.7140079495683435,0.7130764135057369,"[[172352, 56998], [56482, 141013]]",0.46200010999528623
train_new_dataset_basic,Random Forest,heavy_rain_safe_context,1,2735,63,0.02303473491773309,488,0.17842778793418648,0.8212065813528336,0.06352459016393443,0.49206349206349204,0.11252268602540835,"[[2215, 457], [32, 31]]",0.2871297989031079
train_new_dataset_basic,Random Forest,heavy_rain_risky_context,0,428610,196631,0.4587643778726581,197555,0.4609201838501202,0.734205921467068,0.7093315785477462,0.7126648392166037,0.7109943021822186,"[[174556, 57423], [56499, 140132]]",0.45985281946510337
train_new_dataset_basic,Random Forest,heavy_rain_risky_context,1,970,927,0.9556701030927836,944,0.9731958762886598,0.9515463917525773,0.9661016949152542,0.9838187702265372,0.9748797434526991,"[[11, 32], [15, 912]]",0.9177525773195877
train_new_dataset_basic,Random Forest,heavy_rain_high_wind,0,429318,197305,0.45957774889475866,198241,0.46175795098272143,0.7345603957905329,0.7102163528230789,0.7135855654950457,0.7118969727920393,"[[174566, 57447], [56511, 140794]]",0.46061559718189765
train_new_dataset_basic,Random Forest,heavy_rain_high_wind,1,262,253,0.9656488549618321,258,0.9847328244274809,0.9580152671755725,0.9689922480620154,0.9881422924901185,0.9784735812133072,"[[1, 8], [3, 250]]",0.9052290076335878
train_new_dataset_basic,Random Forest,heavy_rain_night,0,428770,196783,0.45894768757142523,197711,0.4611120180982811,0.7342817827739814,0.7095255195714958,0.7128715386999893,0.7111945935806375,"[[174557, 57430], [56502, 140281]]",0.46000967173761675
train_new_dataset_basic,Random Forest,heavy_rain_night,1,810,775,0.9567901234567902,788,0.9728395061728395,0.9543209876543209,0.9682741116751269,0.984516129032258,0.9763275751759437,"[[10, 25], [12, 763]]",0.9251728395061727
train_new_dataset_basic,Neural Network,heavy_rain_safe_context,0,426845,197495,0.4626855181623306,210969,0.49425201185442025,0.7518677740163291,0.7170484763164257,0.7659687587027519,0.7407017509499001,"[[169656, 59694], [46220, 151275]]",0.4756338894367218
train_new_dataset_basic,Neural Network,heavy_rain_safe_context,1,2735,63,0.02303473491773309,1794,0.6559414990859233,0.36416819012797075,0.03288740245261984,0.9365079365079365,0.06354334948842219,"[[937, 1735], [4, 59]]",0.5217859148979187
train_new_dataset_basic,Neural Network,heavy_rain_risky_context,0,428610,196631,0.4587643778726581,211829,0.49422318657987446,0.7489372623130585,0.7101293968247974,0.7650167064196388,0.7365519267492533,"[[170576, 61403], [46205, 150426]]",0.4749976396560669
train_new_dataset_basic,Neural Network,heavy_rain_risky_context,1,970,927,0.9556701030927836,934,0.9628865979381444,0.9536082474226805,0.9721627408993576,0.9795037756202805,0.9758194519075766,"[[17, 26], [19, 908]]",0.8869118094444275
train_new_dataset_basic,Neural Network,heavy_rain_high_wind,0,429318,197305,0.45957774889475866,212508,0.49498972789400864,0.7492651135056065,0.7109567639806501,0.7657383239147513,0.7373314170121494,"[[170589, 61424], [46221, 151084]]",0.47566384077072144
train_new_dataset_basic,Neural Network,heavy_rain_high_wind,1,262,253,0.9656488549618321,255,0.9732824427480916,0.9694656488549618,0.9803921568627451,0.9881422924901185,0.984251968503937,"[[4, 5], [3, 250]]",0.9083215594291687
train_new_dataset_basic,Neural Network,heavy_rain_night,0,428770,196783,0.45894768757142523,211982,0.4943955967068592,0.7490146232245726,0.7103197441292185,0.7651829680409385,0.7367313737722163,"[[170580, 61407], [46208, 150575]]",0.47514086961746216
train_new_dataset_basic,Neural Network,heavy_rain_night,1,810,775,0.9567901234567902,781,0.9641975308641976,0.9530864197530864,0.971830985915493,0.9793548387096774,0.9755784061696658,"[[13, 22], [16, 759]]",0.892451286315918
