run_name,sample_weight_used,model,precip_bin,total,positive,true_positive_ratio,predicted_positive,predicted_positive_ratio,accuracy,precision,recall,f1,confusion_matrix,mean_predicted_probability
train_new_dataset_unweighted,False,XGBoost,0–2mm,422496,194166,0.45956884798909337,209179,0.4951029122169204,0.7688380481708702,0.7306660802470611,0.7871615009836944,0.7578623758816894,"[[171991, 56339], [41326, 152840]]",0.4592929184436798
train_new_dataset_unweighted,False,XGBoost,2–5mm,3120,2261,0.7246794871794872,2491,0.798397435897436,0.8147435897435897,0.8378161380971497,0.9230429013710747,0.8783670033670034,"[[455, 404], [174, 2087]]",0.7173746824264526
train_new_dataset_unweighted,False,XGBoost,5–10mm,3550,1004,0.2828169014084507,971,0.2735211267605634,0.9625352112676057,0.9485066941297632,0.9173306772908366,0.9326582278481013,"[[2496, 50], [83, 921]]",0.28648847341537476
train_new_dataset_unweighted,False,XGBoost,>10mm,414,127,0.30676328502415456,125,0.30193236714975846,0.9710144927536232,0.96,0.9448818897637795,0.9523809523809523,"[[282, 5], [7, 120]]",0.30622705817222595
train_new_dataset_unweighted,False,Random Forest,0–2mm,422496,194166,0.45956884798909337,180359,0.42688924865560857,0.7290743581004318,0.7209509921878032,0.6696847027800954,0.6943728723049196,"[[178001, 50329], [64136, 130030]]",0.45961951761319897
train_new_dataset_unweighted,False,Random Forest,2–5mm,3120,2261,0.7246794871794872,2853,0.9144230769230769,0.7858974358974359,0.7791798107255521,0.9831932773109243,0.8693781775518186,"[[229, 630], [38, 2223]]",0.6656585554350163
train_new_dataset_unweighted,False,Random Forest,5–10mm,3550,1004,0.2828169014084507,977,0.2752112676056338,0.9585915492957746,0.9385875127942682,0.9133466135458167,0.9257950530035336,"[[2486, 60], [87, 917]]",0.28749474962775845
train_new_dataset_unweighted,False,Random Forest,>10mm,414,127,0.30676328502415456,124,0.2995169082125604,0.9637681159420289,0.9516129032258065,0.9291338582677166,0.9402390438247012,"[[281, 6], [9, 118]]",0.3881133234507072
train_new_dataset_unweighted,False,Neural Network,0–2mm,422496,194166,0.45956884798909337,206629,0.48906735211694313,0.769382432023025,0.7340692739160525,0.7811872315441426,0.7568956698561609,"[[173381, 54949], [42486, 151680]]",0.46033787727355957
train_new_dataset_unweighted,False,Neural Network,2–5mm,3120,2261,0.7246794871794872,2446,0.783974358974359,0.8227564102564102,0.8491414554374489,0.9186200796107917,0.8825154025918844,"[[490, 369], [184, 2077]]",0.7334575653076172
train_new_dataset_unweighted,False,Neural Network,5–10mm,3550,1004,0.2828169014084507,972,0.27380281690140845,0.9633802816901409,0.9495884773662552,0.9193227091633466,0.9342105263157895,"[[2497, 49], [81, 923]]",0.28322452306747437
train_new_dataset_unweighted,False,Neural Network,>10mm,414,127,0.30676328502415456,246,0.5942028985507246,0.6739130434782609,0.483739837398374,0.937007874015748,0.6380697050938338,"[[160, 127], [8, 119]]",0.47771701216697693
