run_name,sample_weight_used,model,context_feature,context_value,total,positive,true_positive_ratio,predicted_positive,predicted_positive_ratio,accuracy,precision,recall,f1,confusion_matrix,mean_predicted_probability
train_new_dataset_unweighted,False,XGBoost,heavy_rain_safe_context,0,426845,197495,0.4626855181623306,212762,0.49845259988988977,0.7696376904965503,0.733044434626484,0.7897111319273906,0.7603234070351024,"[[172552, 56798], [41531, 155964]]",0.46230071783065796
train_new_dataset_unweighted,False,XGBoost,heavy_rain_safe_context,1,2735,63,0.02303473491773309,4,0.0014625228519195613,0.9784277879341865,1.0,0.06349206349206349,0.11940298507462686,"[[2672, 0], [59, 4]]",0.036816295236349106
train_new_dataset_unweighted,False,XGBoost,heavy_rain_risky_context,0,428610,196631,0.4587643778726581,211813,0.49418585660623876,0.7705466508014279,0.732008894638195,0.7885277499478719,0.7592179099215559,"[[175215, 56764], [41582, 155049]]",0.45850977301597595
train_new_dataset_unweighted,False,XGBoost,heavy_rain_risky_context,1,970,927,0.9556701030927836,953,0.9824742268041237,0.9567010309278351,0.9643231899265478,0.9913700107874865,0.9776595744680852,"[[9, 34], [8, 919]]",0.9376953840255737
train_new_dataset_unweighted,False,XGBoost,heavy_rain_high_wind,0,429318,197305,0.45957774889475866,212509,0.49499205716974365,0.770850511741879,0.7327595537130193,0.7892248042370948,0.7599447554256321,"[[175222, 56791], [41587, 155718]]",0.4593016505241394
train_new_dataset_unweighted,False,XGBoost,heavy_rain_high_wind,1,262,253,0.9656488549618321,257,0.9809160305343512,0.9618320610687023,0.9727626459143969,0.9881422924901185,0.9803921568627451,"[[2, 7], [3, 250]]",0.9350122213363647
train_new_dataset_unweighted,False,XGBoost,heavy_rain_night,0,428770,196783,0.45894768757142523,211968,0.49436294516873847,0.7706112834386735,0.7321765549516909,0.7886758510643704,0.7593767354697604,"[[175217, 56770], [41585, 155198]]",0.4586789906024933
train_new_dataset_unweighted,False,XGBoost,heavy_rain_night,1,810,775,0.9567901234567902,798,0.9851851851851852,0.9592592592592593,0.9649122807017544,0.9935483870967742,0.9790209790209791,"[[7, 28], [5, 770]]",0.942779541015625
train_new_dataset_unweighted,False,Random Forest,heavy_rain_safe_context,0,426845,197495,0.4626855181623306,184313,0.4318031135423866,0.7300378357483396,0.7231611443576959,0.6748930352667156,0.6981938565980808,"[[178325, 51025], [64207, 133288]]",0.4620014787597267
train_new_dataset_unweighted,False,Random Forest,heavy_rain_safe_context,1,2735,63,0.02303473491773309,0,0.0,0.9769652650822669,0.0,0.0,0.0,"[[2672, 0], [63, 0]]",0.08867513065994562
train_new_dataset_unweighted,False,Random Forest,heavy_rain_risky_context,0,428610,196631,0.4587643778726581,183348,0.42777350038496537,0.7310912017918387,0.7219113380020508,0.6731441125763485,0.6966753425847217,"[[180992, 50987], [64270, 132361]]",0.45876182257807946
train_new_dataset_unweighted,False,Random Forest,heavy_rain_risky_context,1,970,927,0.9556701030927836,965,0.9948453608247423,0.9608247422680413,0.960621761658031,1.0,0.9799154334038055,"[[5, 38], [0, 927]]",0.8408689776906003
train_new_dataset_unweighted,False,Random Forest,heavy_rain_high_wind,0,429318,197305,0.45957774889475866,184051,0.42870552830302944,0.7314671176144489,0.722815958620165,0.674260662426193,0.6976945426320813,"[[180997, 51016], [64270, 133035]]",0.4593791490612159
train_new_dataset_unweighted,False,Random Forest,heavy_rain_high_wind,1,262,253,0.9656488549618321,262,1.0,0.9656488549618321,0.9656488549618321,1.0,0.9825242718446602,"[[0, 9], [0, 253]]",0.8618708659824731
train_new_dataset_unweighted,False,Random Forest,heavy_rain_night,0,428770,196783,0.45894768757142523,183508,0.42798703267486066,0.7311728898943489,0.7221102077293633,0.6733965840545169,0.6969031610003918,"[[180992, 50995], [64270, 132513]]",0.4589033844660238
train_new_dataset_unweighted,False,Random Forest,heavy_rain_night,1,810,775,0.9567901234567902,805,0.9938271604938271,0.9629629629629629,0.9627329192546584,1.0,0.9810126582278481,"[[5, 30], [0, 775]]",0.8414117605598375
train_new_dataset_unweighted,False,Neural Network,heavy_rain_safe_context,0,426845,197495,0.4626855181623306,210170,0.49238013798919983,0.7702327542784851,0.7365228148641576,0.7837919947340439,0.7594225650963413,"[[173975, 55375], [42700, 154795]]",0.4634953439235687
train_new_dataset_unweighted,False,Neural Network,heavy_rain_safe_context,1,2735,63,0.02303473491773309,123,0.04497257769652651,0.9349177330895795,0.032520325203252036,0.06349206349206349,0.043010752688172046,"[[2553, 119], [59, 4]]",0.05185896158218384
train_new_dataset_unweighted,False,Neural Network,heavy_rain_risky_context,0,428610,196631,0.4587643778726581,209338,0.48841137630946546,0.7708709549473881,0.7350839312499403,0.7825876896318484,0.758092366658538,"[[176522, 55457], [42750, 153881]]",0.4597490429878235
